00VD               20160830                                                                                   
0601VDA0N       20170101008050100000050000 0000000000003908   
0601VDA0N       20170101008100100000050000 0000000000003910   
0601VDA0N       20170101008150100000050000 0000000000003912   
0601VDA0N       20170101008200100000050000 0000000000003914   
0601VDA0N       20170101008250100000050000 0000000000003915   
0601VDA0N       20170101008300100000050000 0000000000003917   
0601VDA0N       20170101008350100000050000 0000000000003918   
0601VDA0N       20170101008400100000050000 0000000000003920   
0601VDA0N       20170101008450100000050000 0000000000003922   
0601VDA0N       20170101008500100000050000 0000000000003923   
0601VDA0N       20170101008550100000050000 0000000000003925   
0601VDA0N       20170101008600100000050000 0000000000003926   
0601VDA0N       20170101008650100000050000 0000000000003928   
0601VDA0N       20170101008700100000050000 0000000000003929   
0601VDA0N       20170101008750100000050000 0000000000003932   
0601VDA0N       20170101008800100000050000 0000000000003933   
0601VDA0N       20170101008850100000050000 0000000000003934   
0601VDA0N       20170101008900100000050000 0000000000003936   
0601VDA0N       20170101008950100000050000 0000000000003937   
0601VDA0N       20170101009000100000050000 0000000000003938   
0601VDA0N       20170101009050100000050000 0000000000003940   
0601VDA0N       20170101009100100000050000 0000000000003941   
0601VDA0N       20170101009150100000050000 0000000000003942   
0601VDA0N       20170101009200100000050000 0000000000003944   
0601VDA0N       20170101009250100000050000 0000000000003945   
0601VDA0N       20170101009300100000050000 0000000000003946   
0601VDA0N       20170101009350100000050000 0000000000003949   
0601VDA0N       20170101009400100000050000 0000000000003950   
0601VDA0N       20170101009450100000050000 0000000000003951   
0601VDA0N       20170101009500100000050000 0000000000003952   
0601VDA0N       20170101009550100000050000 0000000000003954   
0601VDA0N       20170101009600100000050000 0000000000003955   
0601VDA0N       20170101009650100000050000 0000000000003956   
0601VDA0N       20170101009700100000050000 0000000000003957   
0601VDA0N       20170101009750100000050000 0000000000003958   
0601VDA0N       20170101009800100000050000 0000000000003959   
0601VDA0N       20170101009850100000050000 0000000000003961   
0601VDA0N       20170101009900100000050000 0000000000003962   
0601VDA0N       20170101009950100000050000 0000000000003963   
0601VDA0N       20170101010000100040000000 0000000000003963   
0601VDA1N       20170101000000100000285000 0100000000000000   
0601VDA1N       20170101000285100000005000 0100000000000007   
0601VDA1N       20170101000290100000005000 0100000000000013   
0601VDA1N       20170101000295100000005000 0100000000000020   
0601VDA1N       20170101000300100000005000 0100000000000029   
0601VDA1N       20170101000305100000005000 0100000000000045   
0601VDA1N       20170101000310100000005000 0100000000000059   
0601VDA1N       20170101000315100000005000 0100000000000072   
0601VDA1N       20170101000320100000005000 0100000000000086   
0601VDA1N       20170101000325100000005000 0100000000000099   
0601VDA1N       20170101000330100000005000 0100000000000116   
0601VDA1N       20170101000335100000005000 0100000000000136   
0601VDA1N       20170101000340100000005000 0100000000000152   
0601VDA1N       20170101000345100000005000 0100000000000168   
0601VDA1N       20170101000350100000005000 0100000000000181   
0601VDA1N       20170101000355100000005000 0100000000000201   
0601VDA1N       20170101000360100000005000 0100000000000220   
0601VDA1N       20170101000365100000005000 0100000000000236   
0601VDA1N       20170101000370100000005000 0100000000000255   
